"Notes","County","County Code","Year","Year Code",Deaths,Population,Crude Rate
,"Conecuh County, AL","01035","2019","2019",0,12067,Unreliable
,"Conecuh County, AL","01035","2020","2020",Suppressed,11851,Suppressed
,"Conecuh County, AL","01035","2021","2021",Suppressed,11328,Suppressed
,"Conecuh County, AL","01035","2022","2022",Suppressed,11206,Suppressed
,"Conecuh County, AL","01035","2023 ","2023",Suppressed,11174,Suppressed
,"Coosa County, AL","01037","2018","2018",Suppressed,10715,Suppressed
,"Coosa County, AL","01037","2019","2019",0,10663,Unreliable
,"Coosa County, AL","01037","2020","2020",Suppressed,10650,Suppressed
,"Coosa County, AL","01037","2021","2021",Suppressed,10450,Suppressed
,"Coosa County, AL","01037","2022","2022",Suppressed,10166,Suppressed
,"Coosa County, AL","01037","2023 ","2023",Suppressed,10268,Suppressed
,"Covington County, AL","01039","2018","2018",Suppressed,36986,Suppressed
,"Covington County, AL","01039","2019","2019",Suppressed,37049,Suppressed
,"Covington County, AL","01039","2020","2020",Suppressed,36930,Suppressed
,"Covington County, AL","01039","2021","2021",Suppressed,37524,Suppressed
,"Covington County, AL","01039","2022","2022",12,37602,Unreliable
,"Covington County, AL","01039","2023 ","2023",Suppressed,37952,Suppressed
,"Crenshaw County, AL","01041","2018","2018",Suppressed,13824,Suppressed
,"Crenshaw County, AL","01041","2019","2019",Suppressed,13772,Suppressed
,"Crenshaw County, AL","01041","2020","2020",Suppressed,13681,Suppressed
,"Crenshaw County, AL","01041","2021","2021",Suppressed,13083,Suppressed
,"Crenshaw County, AL","01041","2022","2022",Suppressed,13025,Suppressed
,"Crenshaw County, AL","01041","2023 ","2023",Suppressed,13101,Suppressed
,"Cullman County, AL","01043","2018","2018",19,83442,Unreliable
,"Cullman County, AL","01043","2019","2019",14,83768,Unreliable
,"Cullman County, AL","01043","2020","2020",17,84515,Unreliable
,"Cullman County, AL","01043","2021","2021",34,89496,37.990524716
,"Cullman County, AL","01043","2022","2022",33,90665,36.397727899
,"Cullman County, AL","01043","2023 ","2023",32,92016,34.776560598
,"Dale County, AL","01045","2018","2018",Suppressed,48956,Suppressed
,"Dale County, AL","01045","2019","2019",Suppressed,49172,Suppressed
,"Dale County, AL","01045","2020","2020",Suppressed,48959,Suppressed
,"Dale County, AL","01045","2021","2021",12,49342,Unreliable
,"Dale County, AL","01045","2022","2022",10,49544,Unreliable
,"Dale County, AL","01045","2023 ","2023",10,49871,Unreliable
,"Dallas County, AL","01047","2018","2018",Suppressed,38310,Suppressed
,"Dallas County, AL","01047","2019","2019",Suppressed,37196,Suppressed
,"Dallas County, AL","01047","2020","2020",Suppressed,36098,Suppressed
,"Dallas County, AL","01047","2021","2021",Suppressed,37619,Suppressed
,"Dallas County, AL","01047","2022","2022",19,36767,Unreliable
,"Dallas County, AL","01047","2023 ","2023",12,36165,Unreliable
,"DeKalb County, AL","01049","2018","2018",17,71385,Unreliable
,"DeKalb County, AL","01049","2019","2019",22,71513,30.763637381
,"DeKalb County, AL","01049","2020","2020",19,71658,Unreliable
,"DeKalb County, AL","01049","2021","2021",19,71813,Unreliable
,"DeKalb County, AL","01049","2022","2022",22,71998,30.556404345
,"DeKalb County, AL","01049","2023 ","2023",21,72569,28.937976271
,"Elmore County, AL","01051","2018","2018",Suppressed,81887,Suppressed
,"Elmore County, AL","01051","2019","2019",Suppressed,81209,Suppressed
,"Elmore County, AL","01051","2020","2020",11,82158,Unreliable
,"Elmore County, AL","01051","2021","2021",10,89304,Unreliable
,"Elmore County, AL","01051","2022","2022",11,89563,Unreliable
,"Elmore County, AL","01051","2023 ","2023",21,90441,23.219557502
,"Escambia County, AL","01053","2018","2018",15,36748,Unreliable
,"Escambia County, AL","01053","2019","2019",12,36633,Unreliable
,"Escambia County, AL","01053","2020","2020",13,36281,Unreliable
,"Escambia County, AL","01053","2021","2021",24,36699,65.396877299
,"Escambia County, AL","01053","2022","2022",19,36666,Unreliable
,"Escambia County, AL","01053","2023 ","2023",22,36558,60.178346737
,"Etowah County, AL","01055","2018","2018",30,102501,29.268007141
,"Etowah County, AL","01055","2019","2019",23,102268,22.489928423
,"Etowah County, AL","01055","2020","2020",23,102371,22.467300310
,"Etowah County, AL","01055","2021","2021",42,103162,40.712665516
,"Etowah County, AL","01055","2022","2022",45,103088,43.652025454
,"Etowah County, AL","01055","2023 ","2023",46,103241,44.555941922
,"Fayette County, AL","01057","2018","2018",Suppressed,16433,Suppressed
,"Fayette County, AL","01057","2019","2019",Suppressed,16302,Suppressed
,"Fayette County, AL","01057","2020","2020",Suppressed,16241,Suppressed
,"Fayette County, AL","01057","2021","2021",10,16148,Unreliable
,"Fayette County, AL","01057","2022","2022",Suppressed,16118,Suppressed
,"Fayette County, AL","01057","2023 ","2023",Suppressed,15967,Suppressed
,"Franklin County, AL","01059","2018","2018",Suppressed,31363,Suppressed
,"Franklin County, AL","01059","2019","2019",Suppressed,31362,Suppressed
,"Franklin County, AL","01059","2020","2020",Suppressed,31507,Suppressed
,"Franklin County, AL","01059","2021","2021",Suppressed,32013,Suppressed
,"Franklin County, AL","01059","2022","2022",12,31932,Unreliable
,"Franklin County, AL","01059","2023 ","2023",Suppressed,31802,Suppressed
,"Geneva County, AL","01061","2018","2018",Suppressed,26314,Suppressed
,"Geneva County, AL","01061","2019","2019",Suppressed,26271,Suppressed
,"Geneva County, AL","01061","2020","2020",Suppressed,26411,Suppressed
,"Geneva County, AL","01061","2021","2021",Suppressed,26701,Suppressed
,"Geneva County, AL","01061","2022","2022",Suppressed,26783,Suppressed
,"Geneva County, AL","01061","2023 ","2023",Suppressed,26988,Suppressed
,"Greene County, AL","01063","2018","2018",0,8233,Unreliable
,"Greene County, AL","01063","2019","2019",0,8111,Unreliable
,"Greene County, AL","01063","2020","2020",0,7990,Unreliable
,"Greene County, AL","01063","2021","2021",0,7629,Unreliable
,"Greene County, AL","01063","2022","2022",0,7422,Unreliable
,"Greene County, AL","01063","2023 ","2023",Suppressed,7341,Suppressed
,"Hale County, AL","01065","2018","2018",Suppressed,14726,Suppressed
,"Hale County, AL","01065","2019","2019",0,14651,Unreliable
,"Hale County, AL","01065","2020","2020",Suppressed,14670,Suppressed
,"Hale County, AL","01065","2021","2021",Suppressed,14754,Suppressed
,"Hale County, AL","01065","2022","2022",Suppressed,14595,Suppressed
,"Hale County, AL","01065","2023 ","2023",Suppressed,14888,Suppressed
,"Henry County, AL","01067","2018","2018",0,17209,Unreliable
,"Henry County, AL","01067","2019","2019",0,17205,Unreliable
,"Henry County, AL","01067","2020","2020",Suppressed,17223,Suppressed
,"Henry County, AL","01067","2021","2021",Suppressed,17459,Suppressed
,"Henry County, AL","01067","2022","2022",Suppressed,17655,Suppressed
,"Henry County, AL","01067","2023 ","2023",Suppressed,17899,Suppressed
,"Houston County, AL","01069","2018","2018",17,104722,Unreliable
,"Houston County, AL","01069","2019","2019",12,105882,Unreliable
,"Houston County, AL","01069","2020","2020",18,106580,Unreliable
,"Houston County, AL","01069","2021","2021",13,107458,Unreliable
,"Houston County, AL","01069","2022","2022",24,108079,22.205978960
,"Houston County, AL","01069","2023 ","2023",16,108462,Unreliable
,"Jackson County, AL","01071","2018","2018",Suppressed,51736,Suppressed
,"Jackson County, AL","01071","2019","2019",Suppressed,51626,Suppressed
,"Jackson County, AL","01071","2020","2020",Suppressed,51582,Suppressed
,"Jackson County, AL","01071","2021","2021",Suppressed,52773,Suppressed
,"Jackson County, AL","01071","2022","2022",12,52891,Unreliable
,"Jackson County, AL","01071","2023 ","2023",11,53467,Unreliable
,"Jefferson County, AL","01073","2018","2018",251,659300,38.070681025
,"Jefferson County, AL","01073","2019","2019",261,658573,39.631141878
,"Jefferson County, AL","01073","2020","2020",362,655342,55.238333572
,"Jefferson County, AL","01073","2021","2021",415,667820,62.142493486
,"Jefferson County, AL","01073","2022","2022",403,665409,60.564254466
,"Jefferson County, AL","01073","2023 ","2023",450,662895,67.884054036
,"Lamar County, AL","01075","2018","2018",0,13844,Unreliable
,"Lamar County, AL","01075","2019","2019",0,13805,Unreliable
,"Lamar County, AL","01075","2020","2020",Suppressed,13764,Suppressed
,"Lamar County, AL","01075","2021","2021",Suppressed,13689,Suppressed
,"Lamar County, AL","01075","2022","2022",Suppressed,13705,Suppressed
,"Lamar County, AL","01075","2023 ","2023",Suppressed,13661,Suppressed
,"Lauderdale County, AL","01077","2018","2018",15,92387,Unreliable
,"Lauderdale County, AL","01077","2019","2019",11,92729,Unreliable
,"Lauderdale County, AL","01077","2020","2020",Suppressed,93368,Suppressed
,"Lauderdale County, AL","01077","2021","2021",19,94043,Unreliable
,"Lauderdale County, AL","01077","2022","2022",29,95878,30.246771939
,"Lauderdale County, AL","01077","2023 ","2023",25,96814,25.822711591
,"Lawrence County, AL","01079","2018","2018",Suppressed,32957,Suppressed
,"Lawrence County, AL","01079","2019","2019",Suppressed,32924,Suppressed
,"Lawrence County, AL","01079","2020","2020",Suppressed,32857,Suppressed
,"Lawrence County, AL","01079","2021","2021",0,33090,Unreliable
,"Lawrence County, AL","01079","2022","2022",Suppressed,33214,Suppressed
,"Lawrence County, AL","01079","2023 ","2023",Suppressed,33502,Suppressed
,"Lee County, AL","01081","2018","2018",10,163941,Unreliable
,"Lee County, AL","01081","2019","2019",11,164542,Unreliable
,"Lee County, AL","01081","2020","2020",18,166831,Unreliable
,"Lee County, AL","01081","2021","2021",24,177218,13.542642395
,"Lee County, AL","01081","2022","2022",19,180773,Unreliable
,"Lee County, AL","01081","2023 ","2023",36,183215,19.649046202
,"Limestone County, AL","01083","2018","2018",Suppressed,96174,Suppressed
,"Limestone County, AL","01083","2019","2019",Suppressed,98915,Suppressed
,"Limestone County, AL","01083","2020","2020",Suppressed,102228,Suppressed
,"Limestone County, AL","01083","2021","2021",10,107517,Unreliable
,"Limestone County, AL","01083","2022","2022",10,110900,Unreliable
,"Limestone County, AL","01083","2023 ","2023",14,114654,Unreliable
,"Lowndes County, AL","01085","2018","2018",0,9974,Unreliable
,"Lowndes County, AL","01085","2019","2019",0,9726,Unreliable
,"Lowndes County, AL","01085","2020","2020",Suppressed,9641,Suppressed
,"Lowndes County, AL","01085","2021","2021",0,9965,Unreliable
,"Lowndes County, AL","01085","2022","2022",Suppressed,9777,Suppressed
,"Lowndes County, AL","01085","2023 ","2023",Suppressed,9717,Suppressed
,"Macon County, AL","01087","2018","2018",Suppressed,18439,Suppressed
,"Macon County, AL","01087","2019","2019",Suppressed,18068,Suppressed
,"Macon County, AL","01087","2020","2020",Suppressed,17895,Suppressed
,"Macon County, AL","01087","2021","2021",Suppressed,18895,Suppressed
,"Macon County, AL","01087","2022","2022",Suppressed,18516,Suppressed
,"Macon County, AL","01087","2023 ","2023",Suppressed,18370,Suppressed
,"Madison County, AL","01089","2018","2018",42,366519,11.459160371
,"Madison County, AL","01089","2019","2019",77,372909,20.648469198
,"Madison County, AL","01089","2020","2020",105,379453,27.671411216
,"Madison County, AL","01089","2021","2021",130,395211,32.893821275
,"Madison County, AL","01089","2022","2022",116,403565,28.743820698
,"Madison County, AL","01089","2023 ","2023",110,412600,26.660203587
,"Marengo County, AL","01091","2018","2018",Suppressed,19066,Suppressed
,"Marengo County, AL","01091","2019","2019",Suppressed,18863,Suppressed
,"Marengo County, AL","01091","2020","2020",Suppressed,18733,Suppressed
,"Marengo County, AL","01091","2021","2021",Suppressed,18996,Suppressed
,"Marengo County, AL","01091","2022","2022",Suppressed,18745,Suppressed
,"Marengo County, AL","01091","2023 ","2023",Suppressed,18684,Suppressed
,"Marion County, AL","01093","2018","2018",0,29763,Unreliable
,"Marion County, AL","01093","2019","2019",Suppressed,29709,Suppressed
,"Marion County, AL","01093","2020","2020",Suppressed,29703,Suppressed
,"Marion County, AL","01093","2021","2021",Suppressed,29246,Suppressed
,"Marion County, AL","01093","2022","2022",Suppressed,29156,Suppressed
,"Marion County, AL","01093","2023 ","2023",Suppressed,29244,Suppressed
,"Marshall County, AL","01095","2018","2018",15,96109,Unreliable
,"Marshall County, AL","01095","2019","2019",22,96774,22.733378800
,"Marshall County, AL","01095","2020","2020",19,96990,Unreliable
,"Marshall County, AL","01095","2021","2021",35,98228,35.631388199
,"Marshall County, AL","01095","2022","2022",32,99423,32.185711556
,"Marshall County, AL","01095","2023 ","2023",28,100756,27.789908293
,"Mobile County, AL","01097","2018","2018",60,413757,14.501265235
,"Mobile County, AL","01097","2019","2019",51,413210,12.342392488
,"Mobile County, AL","01097","2020","2020",93,412716,22.533655104
,"Mobile County, AL","01097","2021","2021",124,413073,30.018907070
,"Mobile County, AL","01097","2022","2022",119,411411,28.924846443
,"Mobile County, AL","01097","2023 ","2023",133,411640,32.309785249
,"Monroe County, AL","01099","2018","2018",Suppressed,21067,Suppressed
,"Monroe County, AL","01099","2019","2019",Suppressed,20733,Suppressed
,"Monroe County, AL","01099","2020","2020",Suppressed,20459,Suppressed
,"Monroe County, AL","01099","2021","2021",Suppressed,19648,Suppressed
,"Monroe County, AL","01099","2022","2022",Suppressed,19404,Suppressed
,"Monroe County, AL","01099","2023 ","2023",Suppressed,19229,Suppressed
,"Montgomery County, AL","01101","2018","2018",19,225763,Unreliable
,"Montgomery County, AL","01101","2019","2019",14,226486,Unreliable
,"Montgomery County, AL","01101","2020","2020",32,224639,14.245077658
,"Montgomery County, AL","01101","2021","2021",39,227434,17.147831899
,"Montgomery County, AL","01101","2022","2022",40,226361,17.670888537
,"Montgomery County, AL","01101","2023 ","2023",36,224980,16.001422349
,"Morgan County, AL","01103","2018","2018",22,119089,18.473578584
,"Morgan County, AL","01103","2019","2019",14,119679,Unreliable
,"Morgan County, AL","01103","2020","2020",27,119883,22.521958910
,"Morgan County, AL","01103","2021","2021",32,123668,25.875731798
,"Morgan County, AL","01103","2022","2022",46,124211,37.033757075
,"Morgan County, AL","01103","2023 ","2023",42,125133,33.564287598
,"Perry County, AL","01105","2018","2018",0,9140,Unreliable
,"Perry County, AL","01105","2019","2019",Suppressed,8923,Suppressed
,"Perry County, AL","01105","2020","2020",Suppressed,8687,Suppressed
,"Perry County, AL","01105","2021","2021",0,8355,Unreliable
,"Perry County, AL","01105","2022","2022",0,8035,Unreliable
,"Perry County, AL","01105","2023 ","2023",Suppressed,7738,Suppressed
,"Pickens County, AL","01107","2018","2018",Suppressed,19938,Suppressed
,"Pickens County, AL","01107","2019","2019",Suppressed,19930,Suppressed
,"Pickens County, AL","01107","2020","2020",Suppressed,19793,Suppressed
,"Pickens County, AL","01107","2021","2021",Suppressed,18801,Suppressed
,"Pickens County, AL","01107","2022","2022",Suppressed,18697,Suppressed
,"Pickens County, AL","01107","2023 ","2023",Suppressed,18688,Suppressed
,"Pike County, AL","01109","2018","2018",Suppressed,33338,Suppressed
,"Pike County, AL","01109","2019","2019",Suppressed,33114,Suppressed
,"Pike County, AL","01109","2020","2020",Suppressed,32966,Suppressed
,"Pike County, AL","01109","2021","2021",Suppressed,32991,Suppressed
,"Pike County, AL","01109","2022","2022",Suppressed,33014,Suppressed
,"Pike County, AL","01109","2023 ","2023",Suppressed,33137,Suppressed
,"Randolph County, AL","01111","2018","2018",Suppressed,22725,Suppressed
,"Randolph County, AL","01111","2019","2019",Suppressed,22722,Suppressed
,"Randolph County, AL","01111","2020","2020",Suppressed,22920,Suppressed
,"Randolph County, AL","01111","2021","2021",Suppressed,21989,Suppressed
,"Randolph County, AL","01111","2022","2022",Suppressed,22479,Suppressed
,"Randolph County, AL","01111","2023 ","2023",Suppressed,22786,Suppressed
,"Russell County, AL","01113","2018","2018",12,57781,Unreliable
,"Russell County, AL","01113","2019","2019",18,57961,Unreliable
,"Russell County, AL","01113","2020","2020",15,58237,Unreliable
,"Russell County, AL","01113","2021","2021",24,58722,40.870542556
,"Russell County, AL","01113","2022","2022",17,58555,Unreliable
,"Russell County, AL","01113","2023 ","2023",22,58744,37.450633256
,"St. Clair County, AL","01115","2018","2018",27,88690,30.443116473
,"St. Clair County, AL","01115","2019","2019",22,89512,24.577710251
,"St. Clair County, AL","01115","2020","2020",30,90739,33.061858738
,"St. Clair County, AL","01115","2021","2021",46,92748,49.596756803
,"St. Clair County, AL","01115","2022","2022",45,93932,47.906996551
,"St. Clair County, AL","01115","2023 ","2023",43,95552,45.001674481
,"Shelby County, AL","01117","2018","2018",35,215707,16.225713584
,"Shelby County, AL","01117","2019","2019",35,217702,16.077022719
,"Shelby County, AL","01117","2020","2020",44,221428,19.871019022
,"Shelby County, AL","01117","2021","2021",63,226902,27.765290742
,"Shelby County, AL","01117","2022","2022",65,230115,28.246746192
,"Shelby County, AL","01117","2023 ","2023",50,233000,21.459227468
,"Sumter County, AL","01119","2018","2018",0,12691,Unreliable
,"Sumter County, AL","01119","2019","2019",0,12427,Unreliable
,"Sumter County, AL","01119","2020","2020",0,12225,Unreliable
,"Sumter County, AL","01119","2021","2021",0,12164,Unreliable
,"Sumter County, AL","01119","2022","2022",0,11853,Unreliable
,"Sumter County, AL","01119","2023 ","2023",Suppressed,11727,Suppressed
,"Talladega County, AL","01121","2018","2018",17,79828,Unreliable
,"Talladega County, AL","01121","2019","2019",Suppressed,79978,Suppressed
,"Talladega County, AL","01121","2020","2020",Suppressed,79985,Suppressed
,"Talladega County, AL","01121","2021","2021",21,81524,25.759285609
,"Talladega County, AL","01121","2022","2022",15,80704,Unreliable
,"Talladega County, AL","01121","2023 ","2023",22,81132,27.116304294
,"Tallapoosa County, AL","01123","2018","2018",Suppressed,40497,Suppressed
,"Tallapoosa County, AL","01123","2019","2019",Suppressed,40367,Suppressed
,"Tallapoosa County, AL","01123","2020","2020",Suppressed,40133,Suppressed
,"Tallapoosa County, AL","01123","2021","2021",Suppressed,41023,Suppressed
,"Tallapoosa County, AL","01123","2022","2022",Suppressed,40977,Suppressed
,"Tallapoosa County, AL","01123","2023 ","2023",Suppressed,40677,Suppressed
,"Tuscaloosa County, AL","01125","2018","2018",27,208911,12.924163878
,"Tuscaloosa County, AL","01125","2019","2019",25,209355,11.941439182
,"Tuscaloosa County, AL","01125","2020","2020",42,210758,19.928069160
,"Tuscaloosa County, AL","01125","2021","2021",55,227007,24.228327761
,"Tuscaloosa County, AL","01125","2022","2022",45,236780,19.004983529
,"Tuscaloosa County, AL","01125","2023 ","2023",48,237373,20.221339411
,"Walker County, AL","01127","2018","2018",12,63711,Unreliable
,"Walker County, AL","01127","2019","2019",16,63521,Unreliable
,"Walker County, AL","01127","2020","2020",28,63143,44.343791077
,"Walker County, AL","01127","2021","2021",29,64818,44.740658459
,"Walker County, AL","01127","2022","2022",46,64339,71.496293073
,"Walker County, AL","01127","2023 ","2023",63,64728,97.330367075
,"Washington County, AL","01129","2018","2018",Suppressed,16378,Suppressed
,"Washington County, AL","01129","2019","2019",0,16326,Unreliable
,"Washington County, AL","01129","2020","2020",0,15976,Unreliable
,"Washington County, AL","01129","2021","2021",Suppressed,15147,Suppressed
,"Washington County, AL","01129","2022","2022",Suppressed,15122,Suppressed
,"Washington County, AL","01129","2023 ","2023",Suppressed,15022,Suppressed
,"Wilcox County, AL","01131","2018","2018",Suppressed,10627,Suppressed
,"Wilcox County, AL","01131","2019","2019",0,10373,Unreliable
,"Wilcox County, AL","01131","2020","2020",Suppressed,10206,Suppressed
,"Wilcox County, AL","01131","2021","2021",0,10446,Unreliable
,"Wilcox County, AL","01131","2022","2022",Suppressed,10059,Suppressed
,"Wilcox County, AL","01131","2023 ","2023",0,9944,Unreliable
,"Winston County, AL","01133","2018","2018",Suppressed,23660,Suppressed
,"Winston County, AL","01133","2019","2019",Suppressed,23629,Suppressed
,"Winston County, AL","01133","2020","2020",Suppressed,23508,Suppressed
,"Winston County, AL","01133","2021","2021",Suppressed,23652,Suppressed
,"Winston County, AL","01133","2022","2022",Suppressed,23755,Suppressed
,"Winston County, AL","01133","2023 ","2023",14,23611,Unreliable
,"Aleutians East Borough, AK","02013","2018","2018",0,3515,Unreliable
,"Aleutians East Borough, AK","02013","2019","2019",Suppressed,3337,Suppressed
,"Aleutians East Borough, AK","02013","2020","2020",Suppressed,3401,Suppressed
,"Aleutians East Borough, AK","02013","2021","2021",0,3398,Unreliable
,"Aleutians East Borough, AK","02013","2022","2022",Suppressed,3398,Suppressed
,"Aleutians East Borough, AK","02013","2023 ","2023",0,3461,Unreliable
,"Aleutians West Census Area, AK","02016","2018","2018",0,5723,Unreliable
,"Aleutians West Census Area, AK","02016","2019","2019",0,5634,Unreliable
,"Aleutians West Census Area, AK","02016","2020","2020",0,5680,Unreliable
,"Aleutians West Census Area, AK","02016","2021","2021",Suppressed,5059,Suppressed
,"Aleutians West Census Area, AK","02016","2022","2022",0,5122,Unreliable
,"Aleutians West Census Area, AK","02016","2023 ","2023",0,5160,Unreliable
,"Anchorage Borough, AK","02020","2018","2018",49,291538,16.807414471
